Source,Target,Weight
RUS,ALB,36605.63
RUS,DZA,5.907
RUS,AGO,15609.397
RUS,AZE,264654.49
RUS,AUT,11.175
RUS,BGD,524626.009
RUS,ARM,59190.418000000005
RUS,BRA,17859.528
RUS,BGR,580.271
RUS,MMR,2549.785
RUS,BDI,4985.248
RUS,BLR,54009.052
RUS,KHM,158.301
RUS,CMR,78057.451
RUS,CPV,1142.497
RUS,LKA,46647.21
RUS,CHN,10848.559
RUS,COG,31898.485
RUS,COD,24942.438
RUS,CYP,11048.635
RUS,BEN,4546.025
RUS,DNK,1753.115
RUS,ETH,12719.041
RUS,EST,22.807
RUS,FIN,13.419
RUS,FRA,250.549
RUS,DJI,24389.794
RUS,GAB,1557.6
RUS,GEO,86488.648
RUS,GMB,8303.263
RUS,DEU,652.1270000000001
RUS,GHA,43384.827
RUS,GRC,41862.638
RUS,GIN,30913.673
RUS,HTI,6277.804
RUS,HUN,15.898
RUS,IDN,72056.678
RUS,IRN,14180.479
RUS,IRL,2190.062
RUS,ISR,74141.47099999999
RUS,ITA,22805.969
RUS,CIV,23408.695
RUS,JPN,9812.291
RUS,KAZ,53696.99
RUS,JOR,1448.923
RUS,KEN,101203.335
RUS,PRK,3747.512
RUS,KOR,1827.429
RUS,KGZ,4110.257
RUS,LAO,1421.748
RUS,LBN,83252.493
RUS,LVA,107782.957
RUS,LBR,2431.65
RUS,LBY,48502.563
RUS,LTU,28670.197
RUS,MDG,11757.665
RUS,MWI,12118.407
RUS,MYS,15207.524
RUS,MLI,21547.667
RUS,MLT,1301.694
RUS,MEX,20936.456
RUS,MNG,5131.552
RUS,MDA,48.117
RUS,MAR,99036.546
RUS,MOZ,52063.046
RUS,OMN,77095.552
RUS,NAM,8501.535
RUS,NLD,393.5750000000001
RUS,NIC,45100.737
RUS,NGA,180635.193
RUS,NOR,6030.28
RUS,PER,9890.166
RUS,PHL,55309.994
RUS,POL,25.078
RUS,QAT,12943.837
RUS,ROU,658.415
RUS,RWA,12236.097
RUS,SEN,121424.83
RUS,SVK,0.001
RUS,VNM,107206.953
RUS,SOM,612.858
RUS,ZAF,92083.548
RUS,ZWE,2035.501
RUS,ESP,808.121
RUS,SDN,204167.224
RUS,SWZ,1193.697
RUS,SWE,1228.436
RUS,CHE,18807.624
RUS,SYR,15228.936
RUS,TJK,0.063
RUS,THA,300.27
RUS,TGO,6020.942
RUS,ARE,149870.294
RUS,TUN,16197.469
RUS,TUR,1376484.924
RUS,TKM,811.546
RUS,UGA,27497.925
RUS,UKR,7719.948
RUS,MKD,116.257
RUS,EGY,1273639.979
RUS,GBR,884.821
RUS,TZA,104737.505
RUS,BFA,11503.779
RUS,UZB,1770.635
RUS,VEN,41738.262
RUS,YEM,319260.787
